id,condition,target,sentence,meaningfulness_M,meaningfulness_SD,probability_M,probability_SD,stereotypicality_M,stereotypicality_SD,length,target_stereotypicality,target_sentence_position,target_inflection
121,stc,peruka,Wnuczka lubi przymierzać peruki swojej ukochanej babci.,6.5,0.57,5.38,1.37,5.72,1.41,7,F,4,peruki
122,stc,piekarnik,Codziennie używała wymarzonego piekarnika do pieczenia chleba.,6,1.31,5.07,1.55,5.9,1.11,7,F,4,piekarnika
123,stc,taniec,Dziewczynę najbardziej fascynuje taniec i lekcje akrobatyki.,6.55,0.74,5.63,1.19,6.14,1.03,7,F,4,taniec
124,stc,kuchenka,Staruszka stała przy kuchence i mieszała zupę.,6.69,0.6,6.62,0.49,6.28,1,7,F,4,kuchence
125,stc,wstążka,Dziewczynka oszczędzała na wstążki do ozdoby włosów.,6.2,0.85,5.66,1.08,6.1,1.14,7,F,4,wstążki
126,stc,szydełko,Kobieta kupiła sobie metalowe szydełka i kłębki wełny.,6.24,0.99,5.43,1.04,5.97,0.91,8,F,5,szydełka
127,stc,rzęsa,Nastolatki przyczepiają sobie sztuczne rzęsy przed każdą imprezą.,5.72,1.39,5,1.56,5.63,1.19,8,F,5,rzęsy
128,stc,usta,Ich córka balsamuje swoje usta kilka razy dziennie.,6.1,1.42,5.76,1.5,6.17,1.34,8,F,5,usta
129,stc,jedwab,Ta nauczycielka chodzi w jedwabiu niezależnie od okazji.,6.2,1.16,4.76,1.77,5.14,1.33,8,F,5,jedwabiu
130,stc,talia,Urzędniczce zależało na wąskiej talii i smukłej sylwetce.,6.07,1.46,5.93,1.14,6.24,1.02,8,F,5,talii
131,stc,szminka,Te nastolatki właśnie kupiły sobie szminki w odcieniu czerwieni.,6.33,0.76,5.5,1.43,6.17,1.26,9,F,6,szminki
132,stc,pończocha,Jej koleżanka poszła kupić sobie pończochy na sobotnią imprezę.,6.43,0.9,5.47,1.33,5.9,0.99,9,F,6,pończochy
133,stc,sukienka,Jej siostra specjalizowała się w sukienkach wieczorowych największych gwiazd.,5.63,1.54,5.66,1.14,6.03,0.87,9,F,6,sukienkach
134,stc,biżuteria,Młode dziewczyny godzinami oglądają najnowszą biżuterię od znanego jubilera.,6.2,1.16,5,1.46,6,1,9,F,6,biżuterię
135,stc,fartuch,W domu zawsze chodziła w fartuchu po swojej mamie.,6.14,1.06,5.31,1.54,5.43,1.07,9,F,6,fartuchu
136,stc,pocisk,Braci zafascynował znaleziony pocisk z czasów wojny.,6.47,0.86,6.1,1.14,5.93,1.1,7,M,4,pocisk
137,stc,koszula,Dziadek codziennie nosi koszulę i spodnie garniturowe.,6.34,1.14,5.73,1.08,5.72,0.96,7,M,4,koszulę
138,stc,łopata,Gospodarz kupił dwie łopaty i metalowe grabie.,6.47,0.82,6.1,0.9,5.77,0.94,7,M,4,łopaty
139,stc,tarcza,Dziesięciolatek marzył o tarczy z herbem rycerskim.,6.62,0.56,5.86,1.43,6.07,0.78,7,M,4,tarczy
140,stc,bitwa,Chłopcy urządzili im bitwę na placu zabaw.,6.21,1.01,5.83,0.79,6.17,0.85,7,M,4,bitwę
141,stc,wojna,Jego bracia pasjonują się wojną i technikami samoobrony.,6.24,1.02,5.73,1.05,6.38,0.78,8,M,5,wojną
142,stc,silnik,Mężczyzna potrafił dokładnie zaprojektować silnik tego modelu samochodu.,6.17,1.12,4.87,1.72,6.07,0.98,8,M,5,silnik
143,stc,narzędzie,Tata pojechał kupić nowe narzędzia przed remontem kuchni.,6.52,1.02,6,1.05,6.5,0.63,8,M,5,narzędzia
144,stc,pościg,Ten mężczyzna ruszył w pościg za niebezpiecznym złodziejem.,6.5,0.63,5.24,1.43,5.97,0.89,8,M,5,pościg
145,stc,forsa,Mężczyźni często oczekują dużo forsy za wykonaną pracę.,5.86,1.33,5.3,1.12,5.38,1.32,8,M,5,forsy
